instance,algorithm,random_seed,epsilon,horizon,regret
instance-1,ucb,40,0,50,11
instance-1,ucb,41,0,50,5
instance-1,ucb,42,0,50,3
instance-1,ucb,43,0,50,5
instance-1,ucb,44,0,50,3
instance-1,ucb,45,0,50,5
instance-1,ucb,46,0,50,1
instance-1,ucb,47,0,50,6
instance-1,ucb,48,0,50,2
instance-1,ucb,49,0,50,0
instance-1,ucb,0,0,200,15
instance-1,ucb,1,0,200,8
instance-1,ucb,2,0,200,12
instance-1,ucb,3,0,200,20
instance-1,ucb,4,0,200,20
instance-1,ucb,5,0,200,16
instance-1,ucb,6,0,200,15
instance-1,ucb,7,0,200,9
instance-1,ucb,8,0,200,12
instance-1,ucb,9,0,200,0
instance-1,ucb,10,0,200,8
instance-1,ucb,11,0,200,17
instance-1,ucb,12,0,200,8
instance-1,ucb,13,0,200,10
instance-1,ucb,14,0,200,13
instance-1,ucb,15,0,200,13
instance-1,ucb,16,0,200,1
instance-1,ucb,17,0,200,11
instance-1,ucb,18,0,200,11
instance-1,ucb,19,0,200,0
instance-1,ucb,20,0,200,6
instance-1,ucb,21,0,200,12
instance-1,ucb,22,0,200,18
instance-1,ucb,23,0,200,11
instance-1,ucb,24,0,200,12
instance-1,ucb,25,0,200,10
instance-1,ucb,26,0,200,6
instance-1,ucb,27,0,200,13
instance-1,ucb,28,0,200,6
instance-1,ucb,29,0,200,7
instance-1,ucb,30,0,200,-2
instance-1,ucb,31,0,200,7
instance-1,ucb,32,0,200,17
instance-1,ucb,33,0,200,7
instance-1,ucb,34,0,200,15
instance-1,ucb,35,0,200,0
instance-1,ucb,36,0,200,5
instance-1,ucb,37,0,200,7
instance-1,ucb,38,0,200,-1
instance-1,ucb,39,0,200,6
instance-1,ucb,40,0,200,9
instance-1,ucb,41,0,200,10
instance-1,ucb,42,0,200,9
instance-1,ucb,43,0,200,11
instance-1,ucb,44,0,200,10
instance-1,ucb,45,0,200,19
instance-1,ucb,46,0,200,5
instance-1,ucb,47,0,200,10
instance-1,ucb,48,0,200,10
instance-1,ucb,49,0,200,11
instance-1,ucb,0,0,800,7
instance-1,ucb,1,0,800,33
instance-1,ucb,2,0,800,16
instance-1,ucb,3,0,800,12
instance-1,ucb,4,0,800,51
instance-1,ucb,5,0,800,12
instance-1,ucb,6,0,800,14
instance-1,ucb,7,0,800,24
instance-1,ucb,8,0,800,26
instance-1,ucb,9,0,800,2
instance-1,ucb,10,0,800,12
instance-1,ucb,11,0,800,31
instance-1,ucb,12,0,800,22
instance-1,ucb,13,0,800,16
instance-1,ucb,14,0,800,34
instance-1,ucb,15,0,800,38
instance-1,ucb,16,0,800,14
instance-1,ucb,17,0,800,21
instance-1,ucb,18,0,800,33
instance-1,ucb,19,0,800,-1
instance-1,ucb,20,0,800,25
instance-1,ucb,21,0,800,3
instance-1,ucb,22,0,800,19
instance-1,ucb,23,0,800,24
instance-1,ucb,24,0,800,30
instance-1,ucb,25,0,800,35
instance-1,ucb,26,0,800,8
instance-1,ucb,27,0,800,27
instance-1,ucb,28,0,800,35
instance-1,ucb,29,0,800,6
instance-1,ucb,30,0,800,0
instance-1,ucb,31,0,800,34
instance-1,ucb,32,0,800,4
instance-1,ucb,33,0,800,35
instance-1,ucb,34,0,800,19
instance-1,ucb,35,0,800,10
instance-1,ucb,36,0,800,17
instance-1,ucb,37,0,800,24
instance-1,ucb,38,0,800,45
instance-1,ucb,39,0,800,8
instance-1,ucb,40,0,800,-3
instance-1,ucb,41,0,800,36
instance-1,ucb,42,0,800,17
instance-1,ucb,43,0,800,13
instance-1,ucb,44,0,800,16
instance-1,ucb,45,0,800,49
instance-1,ucb,46,0,800,27
instance-1,ucb,47,0,800,21
instance-1,ucb,48,0,800,34
instance-1,ucb,49,0,800,12
instance-1,ucb,0,0,3200,21
instance-1,ucb,1,0,3200,50
instance-1,ucb,2,0,3200,21
instance-1,ucb,3,0,3200,35
instance-1,ucb,4,0,3200,45
